word	nodeType	unit
worldwide	ADJ	02x01_-_Follow_Mama_and_Papa
discrete	ADJ	02x01_-_Follow_Mama_and_Papa
fierce	ADJ	02x01_-_Follow_Mama_and_Papa
key	ADJ	02x01_-_Follow_Mama_and_Papa
ostanian	ADJ	02x01_-_Follow_Mama_and_Papa
skilled	ADJ	02x01_-_Follow_Mama_and_Papa
different	ADJ	02x01_-_Follow_Mama_and_Papa
true	ADJ	02x01_-_Follow_Mama_and_Papa
true	ADJ	02x01_-_Follow_Mama_and_Papa
true	ADJ	02x01_-_Follow_Mama_and_Papa
psychic	ADJ	02x01_-_Follow_Mama_and_Papa
own	ADJ	02x01_-_Follow_Mama_and_Papa
personal	ADJ	02x01_-_Follow_Mama_and_Papa
fake	ADJ	02x01_-_Follow_Mama_and_Papa
other	ADJ	02x01_-_Follow_Mama_and_Papa
original	ADJ	02x01_-_Follow_Mama_and_Papa
infamous	ADJ	02x01_-_Follow_Mama_and_Papa
several	ADJ	02x01_-_Follow_Mama_and_Papa
boring	ADJ	02x01_-_Follow_Mama_and_Papa
single	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
certain	ADJ	02x01_-_Follow_Mama_and_Papa
exciting	ADJ	02x01_-_Follow_Mama_and_Papa
secret	ADJ	02x01_-_Follow_Mama_and_Papa
unwell	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
armed	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
tired	ADJ	02x01_-_Follow_Mama_and_Papa
sure	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
right	ADJ	02x01_-_Follow_Mama_and_Papa
bad	ADJ	02x01_-_Follow_Mama_and_Papa
unhappy	ADJ	02x01_-_Follow_Mama_and_Papa
impressive	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
well	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
loose	ADJ	02x01_-_Follow_Mama_and_Papa
other	ADJ	02x01_-_Follow_Mama_and_Papa
normal	ADJ	02x01_-_Follow_Mama_and_Papa
married	ADJ	02x01_-_Follow_Mama_and_Papa
great	ADJ	02x01_-_Follow_Mama_and_Papa
exciting	ADJ	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	02x01_-_Follow_Mama_and_Papa
sad	ADJ	02x01_-_Follow_Mama_and_Papa
many	ADJ	02x01_-_Follow_Mama_and_Papa
odd	ADJ	02x01_-_Follow_Mama_and_Papa
important	ADJ	02x01_-_Follow_Mama_and_Papa
new	ADJ	02x01_-_Follow_Mama_and_Papa
right	ADJ	02x01_-_Follow_Mama_and_Papa
last	ADJ	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	02x01_-_Follow_Mama_and_Papa
more	ADJ	02x01_-_Follow_Mama_and_Papa
mad	ADJ	02x01_-_Follow_Mama_and_Papa
mad	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
easy	ADJ	02x01_-_Follow_Mama_and_Papa
worried	ADJ	02x01_-_Follow_Mama_and_Papa
hopeless	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
much	ADJ	02x01_-_Follow_Mama_and_Papa
sharp	ADJ	02x01_-_Follow_Mama_and_Papa
careful	ADJ	02x01_-_Follow_Mama_and_Papa
more	ADJ	02x01_-_Follow_Mama_and_Papa
capable	ADJ	02x01_-_Follow_Mama_and_Papa
secret	ADJ	02x01_-_Follow_Mama_and_Papa
countless	ADJ	02x01_-_Follow_Mama_and_Papa
fun	ADJ	02x01_-_Follow_Mama_and_Papa
happy	ADJ	02x01_-_Follow_Mama_and_Papa
safe	ADJ	02x01_-_Follow_Mama_and_Papa
nice	ADJ	02x01_-_Follow_Mama_and_Papa
good	ADJ	02x01_-_Follow_Mama_and_Papa
faint	ADJ	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	02x01_-_Follow_Mama_and_Papa
dangerous	ADJ	02x01_-_Follow_Mama_and_Papa
many	ADJ	02x01_-_Follow_Mama_and_Papa
bad	ADJ	02x01_-_Follow_Mama_and_Papa
wrong	ADJ	02x01_-_Follow_Mama_and_Papa
like	ADJ	02x01_-_Follow_Mama_and_Papa
enough	ADJ	02x01_-_Follow_Mama_and_Papa
cool	ADJ	02x01_-_Follow_Mama_and_Papa
pathetic	ADJ	02x01_-_Follow_Mama_and_Papa
mean	ADJ	02x01_-_Follow_Mama_and_Papa
pitiful	ADJ	02x01_-_Follow_Mama_and_Papa
obtrusive	ADJ	02x01_-_Follow_Mama_and_Papa
sure	ADJ	02x01_-_Follow_Mama_and_Papa
tired	ADJ	02x01_-_Follow_Mama_and_Papa
sure	ADJ	02x01_-_Follow_Mama_and_Papa
sorry	ADJ	02x01_-_Follow_Mama_and_Papa
casual	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
bored	ADJ	02x01_-_Follow_Mama_and_Papa
lone	ADJ	02x01_-_Follow_Mama_and_Papa
horrendous	ADJ	02x01_-_Follow_Mama_and_Papa
right	ADJ	02x01_-_Follow_Mama_and_Papa
bad	ADJ	02x01_-_Follow_Mama_and_Papa
great	ADJ	02x01_-_Follow_Mama_and_Papa
more	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
fake	ADJ	02x01_-_Follow_Mama_and_Papa
little	ADJ	02x01_-_Follow_Mama_and_Papa
dry	ADJ	02x01_-_Follow_Mama_and_Papa
rare	ADJ	02x01_-_Follow_Mama_and_Papa
pufferfish	ADJ	02x01_-_Follow_Mama_and_Papa
toxic	ADJ	02x01_-_Follow_Mama_and_Papa
